!Important ChatGPT Bing start!
!list of built in functions and description!

Name	Description
FileRead	Retrieves the contents of a file.
FileRecycle	Sends a file or directory to the recycle bin if possible, or permanently deletes it.
FileRecycleEmpty	Empties the recycle bin.
FileSelect	Displays a standard dialog that allows the user to open or save file(s).
FileSetAttrib	Changes the attributes of one or more files or folders. Wildcards are supported.
FileSetTime	Changes the datetime stamp of one or more files or folders. Wildcards are supported.
Finally	Ensures that one or more statements are always executed after a Try statement finishes.
Float	Converts a numeric string or integer value to a floating-point number.
Floor	Returns the specified number rounded down to the nearest integer (without any .00 suffix).
For	Repeats one or more statements once for each key-value pair in an object.
Format	Formats a variable number of input values according to a format string.
FormatTime	Transforms a YYYYMMDDHH24MISS timestamp into the specified date/time format.
GetKeyName	Retrieves the name/text of a key.
GetKeyVK	Retrieves the virtual key code of a key.
GetKeySC	Retrieves the scan code of a key.
GetKeyState	Checks if a keyboard key or mouse/controller button is down or up. Also retrieves controller status.
GetMethod	Retrieves the implementation function of a method.
Goto	Jumps to the specified label and continues execution.
GroupActivate	Activates the next window in a window group that was defined with GroupAdd.
GroupAdd	Adds a window specification to a window group, creating the group if necessary.
GroupClose	Closes the active window if it was just activated by GroupActivate or GroupDeactivate. It then activates the next window in the series. It can also close all windows in a group.
GroupDeactivate	Similar to GroupActivate except activates the next window not in the group.
Gui()	Creates and returns a new Gui object. This can be used to define a custom window, or graphical user interface (GUI), to display information or accept user input.
GuiCtrlFromHwnd	Retrieves the GuiControl object of a GUI control associated with the specified HWND.
GuiFromHwnd	Retrieves the Gui object of a GUI window associated with the specified HWND.
HasBase	Returns a non-zero number if the specified value is derived from the specified base object.
HasMethod	Returns a non-zero number if the specified value has a method by the specified name.
HasProp	Returns a non-zero number if the specified value has a property by the specified name.
HotIf / HotIfWin...	Specifies the criteria for subsequently created or modified hotkey variants.
Hotkey	Creates, modifies, enables, or disables a hotkey while the script is running.
Hotstring	Creates, modifies, enables, or disables a hotstring while the script is running.
If	Specifies one or more statements to execute if an expression evaluates to true.
IL_Create
IL_Add
IL_Destroy	The means by which icons are added to a ListView or TreeView control.
ImageSearch	Searches a region of the screen for an image.
IniDelete	Deletes a value from a standard format .ini file.
IniRead	Reads a value, section or list of section names from a standard format .ini file.
IniWrite	Writes a value or section to a standard format .ini file.
InputBox	Displays an input box to ask the user to enter a string.
InputHook	Creates an object which can be used to collect or intercept keyboard input.
InstallKeybdHook	Installs or uninstalls the keyboard hook.
InstallMouseHook	Installs or uninstalls the mouse hook.
InStr	Searches for a given occurrence of a string, from the left or the right.
Integer	Converts a numeric string or floating-point value to an integer.
IsLabel	Returns a non-zero number if the specified label exists in the current scope.
IsObject	Returns a non-zero number if the specified value is an object.
IsSet / IsSetRef	Returns a non-zero number if the specified variable has been assigned a value.
KeyHistory	Displays script info and a history of the most recent keystrokes and mouse clicks.
KeyWait	Waits for a key or mouse/controller button to be released or pressed down.
ListHotkeys	Displays the hotkeys in use by the current script, whether their subroutines are currently running, and whether or not they use the keyboard or mouse hook.
ListLines	Enables or disables line logging or displays the script lines most recently executed.
ListVars	Displays the script's variables: their names and current contents.
ListViewGetContent	Returns a list of items/rows from a ListView.
LoadPicture	Loads a picture from file and returns a bitmap or icon handle.
Log	Returns the logarithm (base 10) of the specified number.
Ln	Returns the natural logarithm (base e) of the specified number.
Loop (normal)	Performs one or more statements repeatedly: either the specified number of times or until Break is encountered.
Loop Files	Retrieves the specified files or folders, one at a time.
Loop Parse	Retrieves substrings (fields) from a string, one at a time.
Loop Read	Retrieves the lines in a text file, one at a time.
Loop Reg	Retrieves the contents of the specified registry subkey, one item at a time.
Map	Creates a Map from a list of key-value pairs.
Max	Returns the highest number from a set of numbers.
MenuBar()	Creates a MenuBar object, which can be used to define a GUI menu bar.
Menu()	Creates a Menu object, which can be used to create and display a menu.
MenuFromHandle	Retrieves the Menu or MenuBar object corresponding to a Win32 menu handle.
MenuSelect	Invokes a menu item from the menu bar of the specified window.
Min	Returns the lowest number from a set of numbers.
Mod	Modulo. Returns the remainder of the specified dividend divided by the specified divisor.
MonitorGet	Checks if the specified monitor exists and optionally retrieves its bounding coordinates.
MonitorGetCount	Returns the total number of monitors.
MonitorGetName	Returns the operating system's name of the specified monitor.
MonitorGetPrimary	Returns the number of the primary monitor.
MonitorGetWorkArea	Checks if the specified monitor exists and optionally retrieves the bounding coordinates of its working area.
MouseClick	Clicks or holds down a mouse button, or turns the mouse wheel. Note: The Click function is generally more flexible and easier to use.
MouseClickDrag	Clicks and holds the specified mouse button, moves the mouse to the destination coordinates, then releases the button.
MouseGetPos	Retrieves the current position of the mouse cursor, and optionally which window and control it is hovering over.
MouseMove	Moves the mouse cursor.
MsgBox	Displays the specified text in a small window containing one or more buttons (such as Yes and No).
Number	Converts a numeric string to a pure integer or floating-point number.
NumGet	Returns the binary number stored at the specified address+offset.
NumPut	Stores one or more numbers in binary format at the specified address+offset.
ObjAddRef / ObjRelease	Increments or decrements an object's reference count.
ObjBindMethod	Creates a BoundFunc object which calls a method of a given object.
ObjHasOwnProp
ObjOwnProps
These functions are equivalent to built-in methods of the Object type. It is usually recommended to use the corresponding method instead.
ObjGetBase	Retrieves an object's base object.
ObjGetCapacity	Returns the current capacity of the object's internal array of properties.
ObjOwnPropCount	Returns the number of properties owned by an object.
ObjSetBase	Sets an object's base object.
ObjSetCapacity	Sets the current capacity of the object's internal array of own properties.
OnClipboardChange	Causes the specified function to be called automatically whenever the clipboard's content changes.
OnError	Causes the specified function to be called automatically when an unhandled error occurs.
OnExit	Causes the specified function to be called automatically when the script exits.
OnMessage	Causes the specified function to be called automatically whenever the script receives the specified message.
Ord	Returns the ordinal value (numeric character code) of the first character in the specified string.
OutputDebug	Sends a string to the debugger (if any) for display.
Pause	Pauses the script's current thread.
Persistent	Prevents the script from exiting automatically when its last thread completes, allowing it to stay running in an idle state.
PixelGetColor	Retrieves the color of the pixel at the specified x,y coordinates.
PixelSearch	Searches a region of the screen for a pixel of the specified color.
PostMessage	Places a message in the message queue of a window or control.
ProcessClose	Forces the first matching process to close.
ProcessExist	Checks if the specified process exists.
ProcessGetName	Returns the name of the specified process.
ProcessGetParent	Returns the process ID (PID) of the process which created the specified process.
ProcessGetPath	Returns the path of the specified process.
ProcessSetPriority	Changes the priority level of the first matching process.
ProcessWait	Waits for the specified process to exist.
ProcessWaitClose	Waits for all matching processes to close.
Random	Generates a pseudo-random number.
RegExMatch	Determines whether a string contains a pattern (regular expression).
RegExReplace	Replaces occurrences of a pattern (regular expression) inside a string.
RegCreateKey	Creates a registry key without writing a value.
RegDelete	Deletes a value from the registry.
RegDeleteKey	Deletes a subkey from the registry.
RegRead	Reads a value from the registry.
RegWrite	Writes a value to the registry.
Reload	Replaces the currently running instance of the script with a new one.
Return	Returns from a subroutine to which execution had previously jumped via function-call, Hotkey activation, or other means.
Round	Returns the specified number rounded to N decimal places.
Run	Runs an external program.
RunAs	Specifies a set of user credentials to use for all subsequent uses of Run and RunWait.
RunWait	Runs an external program and waits until it finishes.
Send / SendText / SendInput / SendPlay / SendEvent	Sends simulated keystrokes and mouse clicks to the active window.
SendLevel	Controls which artificial keyboard and mouse events are ignored by hotkeys and hotstrings.
SendMessage	Sends a message to a window or control and waits for acknowledgement.
SendMode	Makes Send synonymous with SendEvent or SendPlay rather than the default (SendInput). Also makes Click and MouseMove/Click/Drag use the specified method.
SetCapsLockState	Sets the state of CapsLock. Can also force the key to stay on or off.
SetControlDelay	Sets the delay that will occur after each control-modifying function.
SetDefaultMouseSpeed	Sets the mouse speed that will be used if unspecified in Click and MouseMove/Click/Drag.
SetKeyDelay	Sets the delay that will occur after each keystroke sent by Send or ControlSend.
SetMouseDelay	Sets the delay that will occur after each mouse movement or click.
SetNumLockState	Sets the state of NumLock. Can also force the key to stay on or off.
SetScrollLockState	Sets the state of ScrollLock. Can also force the key to stay on or off.
SetRegView	Sets the registry view used by RegRead, RegWrite, RegDelete, RegDeleteKey and Loop Reg, allowing them in a 32-bit script to access the 64-bit registry view and vice versa.
SetStoreCapsLockMode	Whether to restore the state of CapsLock after a Send.
SetTimer	Causes a function to be called automatically and repeatedly at a specified time interval.
SetTitleMatchMode	Sets the matching behavior of the WinTitle parameter in built-in functions such as WinWait.
SetWinDelay	Sets the delay that will occur after each windowing function, such as WinActivate.
SetWorkingDir	Changes the script's current working directory.
Shutdown	Shuts down, restarts, or logs off the system.
Sin	Returns the trigonometric sine of the specified number.
Sleep	Waits the specified amount of time before continuing.
Sort	Arranges a variable's contents in alphabetical, numerical, or random order (optionally removing duplicates).
SoundBeep	Emits a tone from the PC speaker.
SoundGetInterface	Retrieves a native COM interface of a sound device or component.
SoundGetMute	Retrieves a mute setting of a sound device.
SoundGetName	Retrieves the name of a sound device or component.
SoundGetVolume	Retrieves a volume setting of a sound device.
SoundPlay	Plays a sound, video, or other supported file type.
SoundSetMute	Changes a mute setting of a sound device.
SoundSetVolume	Changes a volume setting of a sound device.
SplitPath	Separates a file name or URL into its name, directory, extension, and drive.
Sqrt	Returns the square root of the specified number.
StatusBarGetText	Retrieves the text from a standard status bar control.
StatusBarWait	Waits until a window's status bar contains the specified string.
StrCompare	Compares two strings alphabetically.
StrGet	Copies a string from a memory address or buffer, optionally converting it from a given code page.
String	Converts a value to a string.
StrLen	Retrieves the count of how many characters are in a string.
StrLower	Converts a string to lowercase.
StrPtr	Returns the current memory address of a string.
StrPut	Copies a string to a memory address or buffer, optionally converting it to a given code page.
StrReplace	Replaces the specified substring with a new string.
StrSplit	Separates a string into an array of substrings using the specified delimiters.
StrUpper	Converts a string to uppercase.
SubStr	Retrieves one or more characters from the specified position in a string.
Suspend	Disables or enables all or selected hotkeys and hotstrings.
Switch	Executes one case from a list of mutually exclusive candidates.
SysGet	Retrieves dimensions of system objects, and other system properties.
SysGetIPAddresses	Returns an array of the system's IPv4 addresses.
Tan	Returns the trigonometric tangent of the specified number.
Thread	Sets the priority or interruptibility of threads. It can also temporarily disable all timers.
Throw	Signals the occurrence of an error. This signal can be caught by a Try-Catch statement.
ToolTip	Creates an always-on-top window anywhere on the screen.
TraySetIcon	Changes the script's tray icon (which is also used by GUI and dialog windows).
TrayTip	Creates a balloon message window near the tray icon. On Windows 10, a toast notification may be shown instead.
Trim / LTrim / RTrim	Trims characters from the beginning and/or end of a string.
Try	Guards one or more statements against runtime errors and values thrown by the Throw statement.
Type	Returns the class name of a value.
Until	Applies a condition to the continuation of a Loop or For-loop.
VarSetStrCapacity	Enlarges a variable's holding capacity or frees its memory. This is not normally needed, but may be used with DllCall or SendMessage or to optimize repeated concatenation.
VerCompare	Compares two version strings.
While-loop	Performs one or more statements repeatedly until the specified expression evaluates to false.
WinActivate	Activates the specified window.
WinActivateBottom	Same as WinActivate except that it activates the bottommost matching window rather than the topmost.
WinActive	Checks if the specified window is active and returns its unique ID (HWND).
WinClose	Closes the specified window.
WinExist	Checks if the specified window exists and returns the unique ID (HWND) of the first matching window.
WinGetClass	Retrieves the specified window's class name.
WinGetClientPos	Retrieves the position and size of the specified window's client area.
WinGetControls	Returns the control names for all controls in the specified window.
WinGetControlsHwnd	Returns the unique ID numbers for all controls in the specified window.
WinGetCount	Returns the number of existing windows that match the specified criteria.
WinGetID	Returns the unique ID number of the specified window.
WinGetIDLast	Returns the unique ID number of the last/bottommost window if there is more than one match.
WinGetList	Returns the unique ID numbers of all existing windows that match the specified criteria.
WinGetMinMax	Returns the state whether the specified window is maximized or minimized.
WinGetPID	Returns the Process ID number of the specified window.
WinGetPos	Retrieves the position and size of the specified window.
WinGetProcessName	Returns the name of the process that owns the specified window.
WinGetProcessPath	Returns the full path and name of the process that owns the specified window.
WinGetStyle
WinGetExStyle	Returns the style or extended style (respectively) of the specified window.
WinGetText	Retrieves the text from the specified window.
WinGetTitle	Retrieves the title of the specified window.
WinGetTransColor	Returns the color that is marked transparent in the specified window.
WinGetTransparent	Returns the degree of transparency of the specified window.
WinHide	Hides the specified window.
WinKill	Forces the specified window to close.
WinMaximize	Enlarges the specified window to its maximum size.
WinMinimize	Collapses the specified window into a button on the task bar.
WinMinimizeAll / WinMinimizeAllUndo	Minimizes or unminimizes all windows.
WinMove	Changes the position and/or size of the specified window.
WinMoveBottom	Sends the specified window to the bottom of stack; that is, beneath all other windows.
WinMoveTop	Brings the specified window to the top of the stack without explicitly activating it.
WinRedraw	Redraws the specified window.
WinRestore	Unminimizes or unmaximizes the specified window if it is minimized or maximized.
WinSetAlwaysOnTop	Makes the specified window stay on top of all other windows (except other always-on-top windows).
WinSetEnabled	Enables or disables the specified window.
WinSetRegion	Changes the shape of the specified window to be the specified rectangle, ellipse, or polygon.
WinSetStyle
WinSetExStyle	Changes the style or extended style of the specified window, respectively.
WinSetTitle	Changes the title of the specified window.
WinSetTransColor	Makes all pixels of the chosen color invisible inside the specified window.
WinSetTransparent	Makes the specified window semi-transparent.
WinShow	Unhides the specified window.
WinWait	Waits until the specified window exists.
WinWaitActive / WinWaitNotActive	Waits until the specified window is active or not active.
WinWaitClose	Waits until no matching windows can be found.
#ClipboardTimeout	Changes how long the script keeps trying to access the clipboard when the first attempt fails.
#DllLoad	Loads a DLL or EXE file before the script starts executing.
#ErrorStdOut	Sends any syntax error that prevents a script from launching to the standard error stream (stderr) rather than displaying a dialog.
#Hotstring	Changes hotstring options or ending characters.
#HotIf	Creates context-sensitive hotkeys and hotstrings. Such hotkeys perform a different action (or none at all) depending on any condition (an expression).
#HotIfTimeout	Sets the maximum time that may be spent evaluating a single #HotIf expression.
#Include / #IncludeAgain	Causes the script to behave as though the specified file's contents are present at this exact position.
#InputLevel	Controls which artificial keyboard and mouse events are ignored by hotkeys and hotstrings.
#MaxThreads	Sets the maximum number of simultaneous threads.
#MaxThreadsBuffer	Causes some or all hotkeys to buffer rather than ignore keypresses when their #MaxThreadsPerHotkey limit has been reached.
#MaxThreadsPerHotkey	Sets the maximum number of simultaneous threads per hotkey or hotstring.
#NoTrayIcon	Disables the showing of a tray icon.
#Requires	Displays an error and quits if a version requirement is not met.
#SingleInstance	Determines whether a script is allowed to run again when it is already running.
#SuspendExempt	Exempts subsequent hotkeys and hotstrings from suspension.
#UseHook	Forces the use of the hook to implement all or some keyboard hotkeys.
#Warn	Enables or disables warnings for specific conditions which may indicate an error, such as a typo or missing "global" declaration.
#WinActivateForce	Skips the gentle method of activating a window and goes straight to the forceful method.

!Important ChatGPT Bing end!
!list of built in functions and description!


!Important ChatGPT Bing start!
!functions from "autohotkey v1" that are no longer valid!


functions from "autohotkey v1" that are no longer valid:::::
Asc() (use Ord)
AutoTrim (use Trim)
ComObjMissing() (write two consecutive commas instead)
ComObjUnwrap() (use ComObjValue instead, and ObjAddRef if needed)
ComObjEnwrap() (use ComObjFromPtr instead, and ObjAddRef if needed)
ComObjError()
ComObjXXX() where XXX is anything other than one of the explicitly defined ComObj functions (use ComObjActive, ComValue or ComObjFromPtr instead).
ControlSendRaw (use ControlSend "{Raw}" or ControlSendText instead)
EnvDiv
EnvMult
EnvUpdate (it is of very limited usefulness and can be replaced with a simple SendMessage)
Exception (use Error or an appropriate subclass)
FileReadLine (use a file-reading loop or FileOpen)
Func (use a direct reference like MyFunc)
Gosub
Gui, GuiControl, GuiControlGet (see Gui)
IfEqual
IfExist
IfGreater
IfGreaterOrEqual
IfInString
IfLess
IfLessOrEqual
IfMsgBox (MsgBox now returns the button name)
IfNotEqual
IfNotExist
IfNotInString
IfWinActive
IfWinExist
IfWinNotActive
IfWinNotExist
If between/is/in/contains (but see isXXX)
Input (use InputHook)
IsFunc
Menu (use the Menu/MenuBar class, TraySetIcon, A_IconTip, A_IconHidden and A_AllowMainWindow)
MenuGetHandle (use Menu.Handle)
MenuGetName (there are no menu names; MenuFromHandle is the closest replacement)
Progress (use Gui)
SendRaw (use Send "{Raw}" or SendText instead)
SetBatchLines (-1 is now the default behaviour)
SetEnv
SetFormat (Format can be used to format a string)
SoundGet/SoundSet (see Sound functions)
SoundGetWaveVolume/SoundSetWaveVolume (slightly different behaviour to SoundGet/SoundSet regarding balance, but neither one preserves balance)
SplashImage (use Gui)
SplashTextOn/Off (use Gui)
StringCaseSense (use various parameters)
StringGetPos (use InStr)
StringLeft
StringLen
StringMid
StringRight
StringTrimLeft
StringTrimRight -- use SubStr in place of these commands.
StringReplace (use StrReplace instead)
StringSplit (use StrSplit instead)
Transform
VarSetCapacity (use a Buffer object for binary data/structs and VarSetStrCapacity for UTF-16 strings)
WinGetActiveStats
WinGetActiveTitle
#CommentFlag
#Delimiter
#DerefChar
#EscapeChar
#HotkeyInterval (use A_HotkeyInterval)
#HotkeyModifierTimeout (use A_HotkeyModifierTimeout)
#IfWinActive, #IfWinExist, #IfWinNotActive, #IfWinNotExist (see #HotIf Optimization)
#InstallKeybdHook (use the InstallKeybdHook function)
#InstallMouseHook (use the InstallMouseHook function)
#KeyHistory (use KeyHistory N)
#LTrim
#MaxHotkeysPerInterval (use A_MaxHotkeysPerInterval)
#MaxMem (maximum capacity of each variable is now unlimited)
#MenuMaskKey (use A_MenuMaskKey)
#NoEnv (now default behaviour)
Renamed:

ComObjCreate() → ComObject, which is a class now
ComObjParameter() → ComValue, which is a class now
DriveSpaceFree → DriveGetSpaceFree
EnvAdd → DateAdd
EnvSub → DateDiff
FileCopyDir → DirCopy
FileCreateDir → DirCreate
FileMoveDir → DirMove
FileRemoveDir → DirDelete
FileSelectFile → FileSelect
FileSelectFolder → DirSelect
#If → #HotIf
#IfTimeout → HotIfTimeout
StringLower → StrLower and StrTitle
StringUpper → StrUpper and StrTitle
UrlDownloadToFile → Download
WinMenuSelectItem → MenuSelect
LV, TV and SB functions → methods of GuiControl
File.__Handle → File.Handle
Removed Commands (Details)
See above for the full list.

EnvUpdate was removed, but can be replaced with a simple call to SendMessage as follows:

SendMessage(0x1A, 0, StrPtr("Environment"), 0xFFFF)
 
Modified Commands/Functions
 
 
 
ComObj():   
FileCopy and FileMove now throw an exception if the source path does not contain * or ? and no file was not found. However, it is still not considered an error to copy or move zero files when the source path contains wildcards.

FileOpen now throws an exception if it fails to open the file. Otherwise, an exception would be thrown (if the script didn't check for failure) by the first attempt to access the object, rather than at the actual point of failure.

File.RawRead: When a variable is passed directly, the address of the variable's internal string buffer is no longer used. Therefore, a variable containing an address may be passed directly (whereas in v1, something like var+0 was necessary).

For buffers allocated by the script, the new Buffer object is preferred over a variable; any object can be used, but must have Ptr and Size properties.

File.RawWrite: As above, except that it can accept a string (or variable containing a string), in which case Bytes defaults to the size of the string in bytes. The string may contain binary zero.

File.ReadLine now always supports `r, `n and `r`n as line endings, and no longer includes the line ending in the return value. Line endings are still returned to the script as-is by File.Read if EOL translation is not enabled.

FileEncoding now allows code pages to be specified by number without the CP prefix. Its parameter is no longer optional, but can still be explicitly blank.

FileExist now ignores the . and .. implied in every directory listing, so FileExist("dir\*") is now false instead of true when dir exists but is empty.

FileGetAttrib and A_LoopFileAttrib now include the letter "L" for reparse points or symbolic links.

FileInstall in a non-compiled script no longer attempts to copy the file if source and destination are the same path (after resolving relative paths, as the source is relative to A_ScriptDir, not A_WorkingDir). In v1 this caused ErrorLevel to be set to 1, which mostly went unnoticed. Attempting to copy a file onto itself via two different paths still causes an error.

FileSelectFile (now named FileSelect) had two multi-select modes, accessible via options 4 and M. Option 4 and the corresponding mode have been removed; they had been undocumented for some time. FileSelect now returns an Array of paths when the multi-select mode is used, instead of a string like C:\Dir`nFile1`nFile2. Each array element contains the full path of a file. If the user cancels, the array is empty.

FileSelect now uses the IFileDialog API present in Windows Vista and later, instead of the old GetOpenFileName/GetSaveFileName API. This removes the need for (built-in) workarounds relating to the dialog changing the current working directory.

FileSelect no longer has a redundant "Text Documents (*.txt)" filter by default when Filter is omitted.

FileSelect no longer strips spaces from the filter pattern, such as for pattern with spaces*.ext. Testing indicates spaces on either side of the pattern (such as after the semi-colon in *.cpp; *.h) are already ignored by the OS, so there should be no negative consequences.

FileSelect can now be used in "Select Folder" mode via the D option letter.

FileSetAttrib now overwrites attributes when no +, - or ^ prefix is present, instead of doing nothing. For example, FileSetAttrib(FileGetAttrib(file2), file1) copies the attributes of file2 to file1 (adding any that file2 have and removing any that it does not have).

FileSetAttrib and FileSetTime: the OperateOnFolders? and Recurse? parameters have been replaced with a single Mode parameter identical to that of Loop Files. For example, FileSetAttrib("+a", "*.zip", "RF") (Recursively operate on Files only).

GetKeyName now returns the non-Numpad names for VK codes that correspond to both a Numpad and a non-Numpad key. For instance, GetKeyName("vk25") returns Left instead of NumpadLeft.

GetKeyState now always returns 0 or 1.

GroupActivate now returns the HWND of the window which was selected for activation, or 0 if there were no matches (aside from the already-active window), instead of setting ErrorLevel.

GroupAdd: Removed the Label parameter and related functionality. This was an unintuitive way to detect when GroupActivate fails to find any matching windows; GroupActivate's return value should be used instead.

GroupDeactivate now selects windows in a manner closer to the Alt+Esc and Alt+Shift+Esc system hotkeys and the taskbar. Specifically,

